classifier,accuracy,std,itr_bpm,notes
CCA-8ch,0.700,0.158,38.6,b1=0.90 | b0=0.80 | b3=0.50 | b2=0.60
CCA-top4,0.662,0.238,32.6,b1=0.90 | b0=0.90 | b3=0.45 | b2=0.40
FBCCA,0.800,0.154,57.7,b1=0.95 | b0=0.95 | b3=0.70 | b2=0.60
TRCA,0.412,0.185,5.5,b1=0.70 | b0=0.45 | b3=0.25 | b2=0.25
CH11,0.872,n/a,n/a,fired 39/80 trials (49% coverage); acc_all=0.425
