classifier,accuracy,std,itr_bpm,notes
CCA-8ch,0.775,0.202,26.2,b1=1.00 | b0=0.95 | b3=0.60 | b2=0.55
CCA-top4,0.812,0.167,30.2,b1=1.00 | b0=0.95 | b3=0.70 | b2=0.60
FBCCA,0.938,0.065,46.9,b1=1.00 | b0=1.00 | b3=0.90 | b2=0.85
TRCA,0.463,0.129,4.6,b1=0.60 | b0=0.50 | b3=0.50 | b2=0.25
CH11,0.872,n/a,n/a,fired 39/80 trials (49% coverage); acc_all=0.425
