classifier,accuracy,std,itr_bpm,notes
CCA-8ch,0.838,0.163,22.0,b0=1.00 | b1=1.00 | b2=0.70 | b3=0.65
CCA-top4-nested,0.850,0.150,23.0,b0=1.00 | b1=1.00 | b2=0.70 | b3=0.70
FBCCA,,,,not implemented
TRCA,,,,not implemented
CH11,0.872,n/a,n/a,fired 39/80 trials (49% coverage); acc_all=0.425
