classifier,accuracy,std,itr_bpm,notes
CCA-8ch,0.837,0.163,22.0,b1=1.00 | b0=1.00 | b3=0.65 | b2=0.70
CCA-top4,0.850,0.150,23.0,b1=1.00 | b0=1.00 | b3=0.70 | b2=0.70
FBCCA,0.950,0.061,32.7,b1=1.00 | b0=1.00 | b3=0.95 | b2=0.85
TRCA,0.475,0.202,3.4,b1=0.70 | b0=0.65 | b3=0.30 | b2=0.25
CH11,0.872,n/a,n/a,fired 39/80 trials (49% coverage); acc_all=0.425
