classifier,accuracy,std,itr_bpm,notes
CCA-8ch,0.775,0.202,26.2,b0=0.95 | b1=1.00 | b2=0.55 | b3=0.60
CCA-top4-nested,0.812,0.167,30.2,b0=0.95 | b1=1.00 | b2=0.60 | b3=0.70
FBCCA,0.938,0.065,46.9,b0=1.00 | b1=1.00 | b2=0.85 | b3=0.90
TRCA,0.375,0.025,1.6,b0=0.40 | b1=0.40 | b2=0.35 | b3=0.35
CH11,0.872,n/a,n/a,fired 39/80 trials (49% coverage); acc_all=0.425
